Player,Tm,Pos,FG%,FT%,3P%,PTS
Bobby Cattage,UTA,PF,0.3905,0.7635,0.1,121
Tom Chambers,SDC,PF,0.484938,0.813437,0.250188,1253
Joe Cooper,NJN,C,0.468667,0.359667,0,33
Charles Davis,WSB,SF,0.411333,0.689583,0.109083,223
Kenny Dennard,KCK,PF,0.4,0.647333,0.1,89
Mickey Dillard,CLE,PG,0.367,0.652,0,73
John Douglas,SDC,SG,0.316,0.8285,0.4025,226
Craig Dykema,PHO,SF,0.459,0.778,0.5,43
Franklin Edwards,PHI,PG,0.433571,0.762857,0.0158571,257
Petur Gudmundsson,POR,C,0.47425,0.727,0.25,173
Glenn Hagan,DET,PG,0.429,1,0,7
Steve Hayes,TOT,C,0.489714,0.504143,0,97
Tracy Jackson,TOT,SG,0.4068,0.7854,0.0308,178
Clay Johnson,LAL,SG,0.447667,0.642667,0.333333,74
Frank Johnson,WSB,PG,0.4448,0.7588,0.1582,493
Steve Johnson,KCK,C,0.5215,0.568714,0,587
Albert King,NJN,SF,0.445667,0.799111,0.232333,718
Jeff Lamp,POR,SF,0.4055,0.85375,0.19,262
Rock Lee,SDC,C,0.5,0,0,2
Alton Lister,MIL,C,0.490833,0.578556,0.0277778,357
Lewis Lloyd,GSW,SG,0.534667,0.622333,0.119333,577
Kevin Loder,KCK,SF,0.3616,0.5534,0.2444,184
Rudy Macklin,ATL,SF,0.435333,0.797333,0,343
John McCullough,PHO,SG,0.692,0.6,0,21
Hank McDowell,GSW,PF,0.46575,0.73625,0,95
Mike McGee,LAL,SF,0.469364,0.595636,0.277636,503
Kevin McKenna,LAL,SG,0.400333,0.815667,0.276667,220
Larry Nance,PHO,PF,0.538471,0.750118,0.199647,1045
Kurt Nimphius,DAL,C,0.480667,0.656333,0.104167,407
Mark Radford,SEA,SG,0.514,0.459,0.4445,173
Ed Rains,SAS,SF,0.4165,0.634,0,143
Kurt Rambis,LAL,PF,0.527889,0.668444,0,291
Jeff Ruland,WSB,C,0.559375,0.69025,0.101125,720
Danny Schayes,UTA,C,0.443227,0.801818,0.0605909,444
Jim Smith,SDC,PF,0.6295,0.4795,0,109
Larry Spriggs,HOU,SF,0.5158,0.5954,0,174
Isiah Thomas*,DET,PG,0.449846,0.759538,0.289769,1447
Ray Tolbert,TOT,PF,0.494364,0.562545,0,145
Kelly Tripucka,DET,SF,0.4698,0.8597,0.3442,1214
Elston Turner,DAL,SF,0.4055,0.69325,0.1695,299
Darnell Valentine,POR,PG,0.431455,0.779727,0.184818,532
Pete Verhoeven,POR,PF,0.48,0.581,0.0833333,166
Jay Vincent,DAL,PF,0.452462,0.754308,0.217923,707
Danny Vranes,SEA,SF,0.483429,0.534714,0.0642857,373
Buck Williams,NJN,PF,0.545765,0.669647,0.142176,987
Herb Williams,IND,C,0.445545,0.641909,0.0622273,584
Garry Witts,WSB,SF,0.583,0.825,0.5,132
Al Wood,TOT,SG,0.449875,0.779125,0.17025,669
Howard Wood,UTA,SF,0.458,0.654,0,144
Orlando Woolridge,CHI,SF,0.508667,0.725267,0.0654,954
Rich Yonakor,SAS,PF,0.538,0.714,0,33
Dwight Anderson,DEN,PG,0.5,0.7,0,21
J.J. Anderson,TOT,SF,0.4414,0.4988,0,246
Richard Anderson,SDC,C,0.411,0.7695,0.315625,338
John Bagley,CLE,PG,0.391545,0.796818,0.142455,527
Dave Batton,WSB,C,0.4725,0.2355,0,94
Lester Conner,GSW,PG,0.411857,0.756714,0.0827143,328
Chubby Cox,WSB,SG,0.351,0.5,0,29
Terry Cummings,SDC,PF,0.4702,0.68605,0.1731,996
Quintin Dailey,CHI,SG,0.4269,0.7698,0.1136,747
Mark Eaton,UTA,C,0.470636,0.646,0,474
Jerry Eaves,UTA,PG,0.39075,0.835,0.03125,283
Keith Edmonson,ATL,SG,0.45475,0.70275,0,233
Chris Engler,GSW,C,0.387818,0.576091,0,38
Bruce Flowers,CLE,PF,0.534,0.774,0,261
Sleepy Floyd,TOT,PG,0.428176,0.805294,0.295765,825
Bill Garnett,DAL,C,0.48875,0.72,0,409
John Greig,SEA,SF,0.538,0.833,0,19
Scott Hastings,TOT,C-PF,0.411846,0.781308,0.242692,129
Rod Higgins,CHI,SF,0.414176,0.724294,0.235588,418
Craig Hodges,SDC,SG,0.456571,0.842929,0.394571,507
Marc Iavaroni,PHI,PF,0.450364,0.731182,0,275
Jim Johnstone,TOT,PF-C,0.339,0.483333,0,20
Hutch Jones,SDC,SF,0.2295,0.625,0,20
Clark Kellogg,IND,PF,0.468,0.7574,0.3726,983
Joe Kopicki,WSB,PF,0.487333,0.816333,0.27,144
Fat Lever,POR,PG,0.434273,0.765909,0.271727,948
Cliff Levingston,DET,PF,0.503818,0.649818,0.119727,535
Steve Lingenfelter,WSB,PF,0.8335,0,0,5
Dave Magley,CLE,SF,0.25,0.5,0,12
Mark McNamara,PHI,C,0.455,0.4827,0,109
Guy Morgan,IND,SG,0.292,0.25,0,15
Ed Nealy,KCK,PF,0.471357,0.6635,0.154,110
Chuck Nevitt,HOU,C,0.419727,0.447182,0,27
Audie Norris,POR,C,0.486667,0.61,0,273
Eddie Phillips,NJN,SF,0.406,0.678,0,152
Ricky Pierce,DET,SG,0.47835,0.86235,0.2843,836
Charles Pittman,PHO,PF,0.533,0.702,0,265
Paul Pressey,MIL,SG,0.471182,0.738091,0.194818,696
Oliver Robinson,SAS,SG,0.361,0.667,0.091,101
Walker Russell,DET,PG,0.281714,0.560429,0.292,78
Mike Sanders,SAS,SF,0.497933,0.768933,0.1394,383
Russ Schoene,TOT,PF,0.441667,0.743167,0.235333,327
Ed Sherod,NYK,PG,0.406,0.65,0.077,395
Jose Slaughter,IND,SG,0.374,0.644,0.22,225
Derek Smith,GSW,SF,0.458455,0.725273,0.233273,527
Brook Steppe,KCK,SG,0.4628,0.8248,0.2064,259
Jeff Taylor,HOU,SG,0.5,0.776,0,89
Vince Taylor,NYK,SG,0.363,0.656,0,95
Terry Teagle,HOU,SG,0.463385,0.697308,0.192769,627
David Thirdkill,PHO,SF,0.503375,0.54575,0.017875,70
Corny Thompson,DAL,PF,0.314,0.783,0,122
LaSalle Thompson,KCK,C,0.418474,0.729947,0.0421053,467
Darren Tillis,TOT,C,0.3965,0.54775,0,148
Linton Townes,POR,SF,0.4756,0.3474,0.072,53
Trent Tucker,NYK,SG,0.461091,0.753545,0.411727,566
Bryan Warrick,WSB,PG,0.436333,0.765667,0.2555,150
Rory White,PHO,SF,0.483,0.53125,0.013875,321
Dominique Wilkins*,ATL,SF,0.453706,0.804353,0.274059,1681
Rickey Williams,UTA,SG,0.415,0.66,0,147
Rob Williams,DEN,PG,0.4345,0.7855,0.226,659
James Worthy*,LAL,SF,0.520333,0.766917,0.152,1360
Jim Zoet,DET,C,0.2,0,0,2
Ken Austin,DET,SF,0.462,0,0,12
Thurl Bailey,UTA,PF,0.464,0.802143,0.123786,913
Randy Breuer,MIL,C,0.450077,0.571538,0,409
Wallace Bryant,CHI,C,0.3492,0.571,0,72
Howard Carter,DEN,SG,0.3165,0.885,0.1315,175
Carlos Clark,BOS,SG,0.393,0.8315,0,111
Leroy Combs,IND,SF,0.497,0.615,0,218
Russell Cross,GSW,C,0.571,0.418,0,166
Darren Daye,WSB,SF,0.423571,0.546286,0.068,351
Clyde Drexler*,POR,SG,0.466118,0.788647,0.291294,1402
Craig Ehlo,HOU,SG,0.443857,0.702214,0.2975,535
Dale Ellis,DAL,SF,0.462619,0.760619,0.395667,954
Rod Foster,PHO,PG,0.429333,0.753667,0.289333,520
John Garris,CLE,PF,0.51,0.794,0,131
Mike Gibson,WSB,PF,0.387,0.687,0,50
Stewart Granger,CLE,PG,0.384,0.691667,0.102667,105
Sidney Green,CHI,PF,0.43375,0.7615,0.02775,431
Bob Hansen,UTA,SG,0.456727,0.520545,0.244182,375
Derek Harper,DAL,PG,0.452833,0.730667,0.335667,933
Roy Hinson,CLE,SF,0.4952,0.7046,0,838
Charles Jones,PHI,PF,0.437391,0.55113,0.0423913,143
Mark Jones,NJN,PG,0.395,0.5,0,15
Greg Kite,BOS,C,0.381556,0.412278,0.0555556,116
Bruce Kuczenski,TOT,PF,0.2555,0.66675,0,14
Darrell Lockhart,SAS,C,1,0,0,4
Sidney Lowe,IND,PG,0.351333,0.689167,0.0555,98
Jeff Malone,WSB,SG,0.469824,0.866353,0.285353,1098
Pace Mannion,GSW,SF,0.481125,0.42275,0.115125,83
Rodney McCray,HOU,SF,0.4967,0.7523,0.1766,901
Scooter McCray,SEA,PF,0.483333,0.646,0,74
Larry Micheaux,KCK,PF,0.55425,0.643,0,135
Bob Miller,SAS,PF,0.667,0,0,4
John Paxson,SAS,PG,0.487636,0.768091,0.342455,505
John Pinone,ATL,SF,0.538,0.6,0,20
Tom Piotrowski,POR,C,0.462,1,0,30
Leo Rautins,PHI,SF,0.181,0.3,0,24
Doc Rivers,ATL,PG,0.423467,0.7664,0.313333,646
Fred Roberts,SAS,PF,0.483333,0.789267,0.3256,435
Ralph Sampson*,HOU,C,0.437636,0.634818,0.156636,708
Byron Scott,LAL,SG,0.475,0.828786,0.364571,1078
Steve Stipanovich,IND,C,0.4848,0.793,0.1858,1064
Jon Sundvold,SEA,PG,0.431111,0.768444,0.449111,431
Dane Suttle,KCK,SG,0.4855,0.9255,0,136
Jim Thomas,IND,SG,0.398,0.50225,0.07025,338
Paul Thompson,CLE,SF,0.4096,0.796,0.1718,365
Sedale Threatt,PHI,PG,0.473667,0.804556,0.229778,577
Granville Waiters,IND,C,0.4074,0.3822,0,121
Darrell Walker,NYK,PG,0.399833,0.64,0.0301667,539
Brant Weidner,SAS,PF,0.222,1,0,8
Mark West,DAL,C,0.513476,0.557905,0,348
Ennis Whatley,CHI,PG,0.448846,0.587077,0.0277692,168
Mitchell Wiggins,CHI,SG,0.449167,0.742333,0.0975,646
Kevin Williams,SAS,SG,0.427714,0.786571,0.0681429,211
Michael Wilson,WSB,PG,0.290571,0.669143,0,30
Randy Wittman,ATL,SG,0.479273,0.703455,0.302909,393
Chuck Aleksinas,GSW,C,0.478,0.733,0,377
Ron Anderson,CLE,SF,0.458286,0.795714,0.212714,561
Ken Bannister,NYK,PF,0.5162,0.4848,0,300
Charles Barkley*,PHI,PF,0.53275,0.727937,0.24425,1484
Cory Blackwell,SEA,SF,0.367,0.509,0,202
Sam Bowie,POR,C,0.455,0.7332,0.2304,556
Frank Brickowski,SEA,C,0.49975,0.737438,0.164375,525
Tony Brown,IND,SF,0.434154,0.691769,0.277154,203
Steve Burtt,GSW,SG,0.42,0.71825,0.125,146
Michael Cage,LAC,PF,0.514467,0.6406,0,551
Tony Campbell,DET,SF,0.462538,0.772077,0.231538,657
Rick Carlisle,BOS,SG,0.3554,0.6386,0.1332,84
Antoine Carr,ATL,PF,0.493444,0.770444,0.0758889,562
Ron Cavenall,NYK,C,0.4965,0.482,0,42
Steve Colter,POR,PG,0.432,0.774083,0.226417,352
Devin Durrant,IND,SF,0.3985,0.478,0,158
Kenton Edelin,IND,SF,0.308,0.375,0,11
Kenny Fields,MIL,SF,0.507333,0.665667,0.0833333,255
Vern Fleming,IND,PG,0.494917,0.757,0.132917,843
Lancaster Gordon,LAC,SG,0.38025,0.824,0.191,281
Butch Graves,CLE,SG,0.333,0.2,0,5
Stuart Gray,IND,C,0.408667,0.724667,0,113
Mike Holton,PHO,SG,0.424125,0.714625,0.1515,274
Jay Humphries,PHO,SG,0.4336,0.679467,0.258133,631
Ralph Jackson,IND,PG,0.333,0,0,2
Earl Jones,LAL,C,0.2085,0.375,0,6
Ozell Jones,SAS,C,0.2945,0.199,0,122
Michael Jordan,CHI,SG,0.488267,0.830933,0.283933,2152
Jerome Kersey,POR,SF,0.452176,0.657941,0.149059,695
Tim McCormick,SEA,C,0.5013,0.6786,0.05,487
Jay Murphy,LAC,PF,0.32375,0.64425,0,40
Hakeem Olajuwon,HOU,C,0.506667,0.701667,0.100611,1497
Sam Perkins,DAL,PF,0.453684,0.808421,0.316211,861
Jim Petersen,HOU,PF,0.47525,0.719125,0.052125,424
Gary Plummer,GSW,PF,0.431,0.7165,0.125,265
David Pope,KCK,SF,0.3855,0.519,0.5,31
Alvin Robertson,SAS,SG,0.47375,0.722167,0.290417,958
Wayne Sappleton,NJN,PF,0.471,0.412,0,96
Tom Scheffler,POR,C,0.412,0.5,0,52
John Schweitz,SEA,SG,0.169,0.35,0,28
Tom Sewell,WSB,SG,0.25,0.5,0,20
Charlie Sitton,DAL,SF,0.415,0.52,0,91
Tom Sluby,DAL,SG,0.517,0.619,0,73
Terence Stansbury,IND,SG,0.440333,0.747,0.236333,400
John Stockton*,UTA,PG,0.512474,0.823053,0.342737,1037
Peter Thibeaux,GSW,SF,0.4555,0.623,0.2,231
Bernard Thompson,POR,SF,0.4132,0.791,0,215
Otis Thorpe,KCK,PF,0.536429,0.672619,0.0204286,918
Jeff Turner,NJN,PF,0.4536,0.8039,0.2333,369
Melvin Turpin,CLE,C,0.511,0.7644,0.0666,614
Willie White,DEN,SG,0.4295,0.7515,0.325,151
Eddie Lee,NYK,C,0.478833,0.557333,0,255
Dale Wilkinson,TOT,SF-PF,0.178667,0.571333,0,9
Guy Williams,WSB,SF,0.43,0.45,0.125,34
Kevin Willis,ATL,PF,0.464815,0.722519,0.138778,737
Othell Wilson,GSW,PG,0.4515,0.7535,0.1775,267
Leon Wood,PHI,PG,0.4064,0.8053,0.3357,267
Danny Young,SEA,PG,0.413167,0.776917,0.303083,241
Michael Young,PHO,SF,0.269,0.237,0.102667,74
Michael Adams,SAC,PG,0.417091,0.820636,0.299273,874
John Battle,ATL,SG,0.4538,0.7751,0.2057,533
Benoit Benjamin,LAC,C,0.474095,0.639143,0.0158571,536
Uwe Blab,DAL,C,0.440429,0.585429,0,86
Manute Bol,WSB,C,0.351692,0.345077,0.107077,123
Mike Brittain,SAS,C,0.478,0.513,0,31
Terry Catledge,PHI,PF,0.485625,0.664,0.05625,815
Lorenzo Charles,ATL,SF,0.557,0.667,0,122
Fred Cofield,NYK,PG,0.295,0.3,0.1,84
David Cooke,SAC,PF,0.182,0.5,0,9
Tyrone Corbin,SAS,SF,0.437667,0.777042,0.145417,499
Ron Crevier,TOT,C,0,0,0,0
Jeff Cross,LAC,PF,0.25,0.56,0,26
Joe Dumars*,DET,SG,0.457214,0.837357,0.3725,1171
Patrick Ewing*,NYK,C,0.495353,0.733176,0.0880588,1459
Georgi Glouchkov,PHO,PF,0.402,0.574,1,239
A.C. Green,LAL,PF,0.487667,0.708056,0.146833,718
Ken Green,NYK,PF,0.481,0.556,0,31
Kenny Green,TOT,SF,0.4135,0.717,0,116
Claude Gregory,WSB,PF,0.4775,0.1665,0,68
Steve Harris,HOU,SG,0.397857,0.859857,0.0285714,282
Jerome Henderson,LAL,C,0.4875,0.5,0,8
Carl Henry,SAC,SG,0.463,0.706,0.4,78
Alfredrick Hughes,SAS,SG,0.409,0.583,0.176,356
Ken Johnson,POR,PF,0.4665,0.384,0,147
Yvon Joseph,NJN,C,0,1,0,2
Harold Keeling,DAL,SG,0.436,0.714,0,44
Joe Kleine,SAC,C,0.42365,0.8044,0.1704,265
Jon Koncak,ATL,C,0.474727,0.586727,0.106,320
Keith Lee,CLE,PF,0.447667,0.746667,0.074,371
Karl Malone*,UTA,PF,0.512895,0.734474,0.201158,1943
Bill Martin,IND,SF,0.384667,0.780667,0,132
Brian Martin,TOT,SF-PF,0.443,0,0,4
Dwayne McClain,IND,SF,0.383,0.514,0.111,157
Xavier McDaniel,SEA,SF,0.468429,0.712357,0.186071,1069
Ben McDonald,CLE,SF,0.5225,0.66025,0.0955,265
Chris McNealy,NYK,PF,0.429667,0.662333,0,155
Dirk Minniefield,CLE,PG,0.457,0.661571,0.228429,279
Perry Moss,TOT,PG,0.4075,0.72575,0.194,210
Chris Mullin*,GSW,SG,0.489938,0.864625,0.366062,1119
Charles Oakley,CHI,PF,0.460368,0.775632,0.135842,653
Michael Phelps,SEA,SG,0.421333,0.683333,0.061,156
Ed Pinckney,PHO,SF,0.521687,0.780687,0,423
Terry Porter,POR,PG,0.455529,0.822235,0.372882,916
Blair Rasmussen,DEN,C,0.45275,0.76275,0.11875,639
Jerry Reynolds,MIL,SF,0.41625,0.716375,0.2565,504
Derrick Rowland,MIL,SG,0.333,0.5,0,3
Detlef Schrempf,DAL,SF,0.479833,0.798333,0.335944,921
Carey Scurry,UTA,SF,0.4804,0.5408,0.2298,197
Mike Smrek,CHI,C,0.362,0.463444,0,64
Alex Stivrins,SEA,SF,0.359333,0.291667,0,14
Greg Stokes,PHI,PF,0.291,0.8335,0,65
Bob Thornton,NYK,PF,0.3707,0.6384,0.0666,100
Wayman Tisdale,IND,PF,0.500357,0.754071,0,1018
Sedric Toney,TOT,PG,0.337889,0.743667,0.242222,83
Nick Vanos,PHO,C,0.365,0.496,0,111
Sam Vincent,BOS,SG,0.442667,0.865333,0.201667,408
Spud Webb,ATL,PG,0.447643,0.8585,0.229357,615
Bill Wennington,DAL,C,0.445692,0.798846,0.216231,253
Gerald Wilkins,NYK,SG,0.405,0.773769,0.275769,902
Pete Williams,DEN,PF,0.552,0.2125,0,76
Voise Winters,PHI,SF,0.231,0,0,6
Rafael Addison,PHO,SF,0.443667,0.775667,0.250167,364
Mark Alarie,DEN,PF,0.4722,0.7764,0.2456,486
William Bedford,PHO,C,0.408167,0.566,0.258667,160
Walter Berry,TOT,SF-PF,0.555571,0.713143,0.142857,641
Joe Binion,POR,PF,0.4,0.6,0,14
Adrian Branch,LAL,SF,0.44775,0.75225,0.3565,208
Mike Brown,CHI,C,0.445727,0.644636,0.0454545,284
Ben Coleman,NJN,C,0.502571,0.733714,0,298
Dell Curry,UTA,SG,0.452937,0.836938,0.389125,791
Brad Daugherty,CLE,C,0.52725,0.745125,0.104125,1298
Johnny Dawkins,SAS,PG,0.471444,0.865222,0.283556,664
Bruce Douglas,SAC,SG,0.292,0,0,14
Greg Dreiling,IND,C,0.4536,0.6567,0.3,101
Kevin Duckworth,TOT,C,0.439077,0.690692,0.0730769,649
Dave Feitl,HOU,C,0.4244,0.774,0,238
Kenny Gattison,PHO,PF,0.454333,0.624889,0.111111,435
Grant Gondrezick,PHO,SG,0.425,0.6755,0.254,227
Ron Harper,CLE,SG,0.444059,0.719882,0.269118,865
Cedric Henderson,TOT,PF,0.466625,0.801875,0.107375,238
Kevin Henderson,GSW,PG,0.39175,0.677,0,30
Conner Henry,TOT,SG,0.363,0.726571,0.346286,87
Jeff Hornacek,PHO,SG,0.492125,0.873313,0.388687,1058
Myron Jackson,DAL,PG,0.222,0.875,0,11
Buck Johnson,HOU,SF,0.488714,0.731857,0.0854286,659
Steffond Johnson,LAC,PF,0.422,0.526,0,74
Anthony Jones,TOT,SF-SG,0.385,0.808857,0.220429,141
Tim Kempton,LAC,PF,0.318,0.435917,0,108
Curtis Kitchen,SEA,PF,0.5,0.75,0,9
Larry Krystkowiak,SAS,PF,0.450333,0.768111,0.0462222,380
Jim Lampley,PHI,C,0.333,0.5,0,3
Fernando Martin,POR,C,0.29,0.364,0,22
Maurice Martin,DEN,SF,0.3775,0.556,0.225,102
Forrest McKenzie,SAS,SF,0.25,1,0.5,17
Nate McMillan,SEA,PG,0.433583,0.672667,0.3205,394
Cozell McQueen,DET,PF,1,0,0,6
Pete Myers,CHI,SG,0.412467,0.659133,0.0815333,161
Johnny Newman,CLE,SF,0.460667,0.808389,0.309444,754
Dennis Nutt,DAL,PG,0.4,0.909,0.294,57
Chuck Person,IND,SF,0.434615,0.699385,0.349769,1066
Dwayne Polee,LAC,SG,0.25,0,0,2
Harold Pressley,SAC,SF,0.43475,0.77025,0.32275,675
Mark Price,CLE,PG,0.453083,0.90825,0.389417,915
Dennis Rodman*,DET,SF,0.495714,0.582786,0.151,477
Johnny Rogers,SAC,PF,0.456,0.6845,0,125
Ron Rowan,POR,SG,0.444,0.75,1,12
John Salley,DET,C,0.480308,0.708,0.0705385,416
Brad Sellers,CHI,PF,0.426125,0.804375,0.105375,346
McKinley Singleton,NYK,PG,0.667,0,0,4
Scott Skiles,MIL,PG,0.4119,0.8696,0.3561,665
Clinton Smith,GSW,SG,0.4635,0.625,0,67
Keith Smith,MIL,SG,0.38,0.75,0.333,138
Otis Smith,DEN,SG,0.4445,0.742625,0.20625,599
Roy Tarpley,DAL,PF,0.497,0.764167,0.101833,588
Billy Thompson,LAL,SF,0.3795,0.580833,0.0833333,427
Andre Turner,BOS,PG,0.365,0.53025,0.07125,99
Kenny Walker,NYK,SF,0.475714,0.751,0.0928571,446
Chris Washburn,GSW,C,0.431,0.531,0,78
Pearl Washington,NJN,PG,0.45,0.756667,0.154,553
John Williams,WSB,SF,0.43725,0.681625,0.22325,550
David Wingate,PHI,SG,0.458333,0.584333,0.1936,277
Brad Wright,NYK,PF,0.3175,0.2145,0,27
Perry Young,TOT,SG,0.340333,0.333333,0,8
Mark Acres,BOS,C,0.484625,0.64875,0.427,175
Steve Alford,DAL,PG,0.422667,0.812833,0.248,185
Greg Anderson,SAS,PF,0.519154,0.478615,0.041,403
Joe Arlauckas,SAC,SF,0.326,0.75,0,34
Vincent Askew,PHI,SG,0.435286,0.715286,0.157929,282
Nate Blackwell,SAS,PG,0.366,0.833,0.182,37
Muggsy Bogues,WSB,PG,0.417625,0.80225,0.148688,450
Norris Coleman,LAC,SF,0.346,0.556,0.5,153
Dallas Comegys,NJN,PF,0.4585,0.6825,0,428
Winston Crite,PHO,SF,0.25,0.38,0,43
Billy Donovan,NYK,PG,0.404,0.81,0,105
Chris Dudley,CLE,C,0.379389,0.4185,0,212
Jim Farmer,DAL,SG,0.392286,0.684,0.17,138
Tellis Frank,GSW,PF,0.4448,0.7266,0,342
Kevin Gamble,POR,SF,0.435667,0.701417,0.26675,545
Winston Garland,GSW,PG,0.422778,0.834667,0.290222,597
Armen Gilliam,PHO,PF,0.483882,0.771353,0,894
Horace Grant,CHI,PF,0.502235,0.654412,0.0412353,764
Dave Henderson,PHI,SG,0.405,0.681,0,126
Dave Hoppen,TOT,C,0.5136,0.6956,0.05,112
Dennis Hopson,NJN,SG,0.444714,0.637143,0.206,625
Eddie Hughes,UTA,PG,0.411333,0.753,0.297667,98
Mark Jackson,NYK,PG,0.434571,0.763381,0.315524,663
Michael Jackson,SAC,PG,0.340667,0.573,0.357667,62
Kannard Johnson,CLE,SF,0.333,0,0,2
Kevin Johnson,TOT,PG,0.49,0.851357,0.271571,989
Bart Kofoed,UTA,SG,0.2884,0.6046,0.0858,32
Ralph Lewis,DET,SG,0.4054,0.6182,0.0666,47
Reggie Lewis,BOS,SG,0.485333,0.806833,0.1585,1317
Brad Lohaus,BOS,PF,0.418647,0.683588,0.286412,310
Derrick McKey,SEA,SF,0.467133,0.772067,0.281867,684
Reggie Miller*,IND,SG,0.468167,0.887556,0.391167,1404
Andre Moore,TOT,PF-SF,0.430667,0.583333,0,16
Ron Moore,TOT,C,0.310333,0.75,0,16
Ronnie Murphy,POR,SF,0.286,0.636,0.25,36
Tod Murphy,LAC,PF,0.479286,0.526429,0.133,152
Martin Nessley,TOT,C,0.473,0.398,0,32
Ken Norman,LAC,SF,0.4649,0.518,0.245,871
Scottie Pippen*,CHI,SF,0.461765,0.704706,0.296529,1114
Olden Polynice,SEA,C,0.485421,0.483684,0.175421,517
Richard Rellford,SAS,SF,0.625,0.75,0,16
Scott Roth,UTA,SF,0.3586,0.716,0.2166,186
Brian Rowsom,IND,PF,0.31,0.873667,0.5,152
Kenny Smith,SAC,PG,0.464333,0.858933,0.392867,709
John Stroeder,MIL,PF,0.29175,0.16675,0,21
Mark Wade,GSW,PG,0.075,0.25,0,4
Milt Wagner,LAL,SG,0.4215,0.8575,0.2765,107
Jamie Waller,NJN,SG,0.4,0.556,0,42
Duane Washington,NJN,SG,0.2145,0.4,0.25,27
Chris Welp,PHI,C,0.4258,0.6736,0,84
Clinton Wheeler,IND,PG,0.50625,0.74625,0,89
Eric White,LAC,SF,0.3925,0.60225,0.25,123
Tony White,TOT,PG,0.31975,0.5365,0,130
Reggie Williams,LAC,SF,0.418083,0.736542,0.269042,437
Nikita Wilson,POR,SF,0.304,0.833,0,19
Ricky Wilson,TOT,PG,0.463667,0.687667,0.581667,83
Rickie Winslow,MIL,SF,0.231,0.5,0,7
Joe Wolf,LAC,C,0.348933,0.635667,0.0962,188
Phil Zevenbergen,SAS,C,0.556,0,0,30
Randy Allen,SAC,SG,0.4325,0.5175,0,126
Michael Anderson,SAS,PG,0.417,0.695,0.143,204
Willie Anderson,SAS,SF,0.456545,0.781,0.246091,683
Ricky Berry,SAC,SG,0.45,0.789,0.406,706
Anthony Bowie,SAS,SG,0.4805,0.81225,0.33475,368
Scott Brooks,PHI,PG,0.457583,0.855583,0.388833,304
Mark Bryant,POR,PF,0.411167,0.657222,0.0277778,240
Greg Butler,NYK,C,0.31,0.489,0,25
Mike Champion,SEA,SF,0,0,0,0
Rex Chapman,CHH,SG,0.428357,0.725714,0.314643,714
Derrick Chievous,HOU,SF,0.4294,0.712,0.1832,275
Mark Davis,TOT,SF,0.40025,0.759375,0.097125,189
Vinny Del,SAC,SG,0.4485,0.801143,0.2645,520
Fennis Dembo,DET,SF,0.333,0.8,0,36
Ledell Eackles,WSB,SG,0.441286,0.778857,0.313286,683
Kevin Edwards,MIA,SG,0.398308,0.829077,0.338692,518
Wayne Englestad,DEN,PF,0.379,0.6,0,28
Rolando Ferreira,POR,C,0.056,0.875,0,9
Duane Ferrell,ATL,SF,0.420091,0.685545,0.176091,336
Anthony Frederick,IND,SF,0.446,0.702667,0.211667,239
Corey Gaines,NJN,SG,0.4152,0.6336,0.2942,49
Tom Garrick,LAC,SG,0.408857,0.771571,0.134286,213
Ben Gillery,SAC,C,0.316,0.565,0,25
Orlando Graham,GSW,PF,0.3,0.5,0,8
Ron Grandison,BOS,PF,0.406286,0.481286,0.0848571,45
Gary Grant,LAC,PG,0.432308,0.610538,0.213923,336
Harvey Grant,WSB,PF,0.449636,0.689455,0.174,707
Sylvester Gray,MIA,SF,0.42,0.673,0.25,440
Jeff Grayer,MIL,SG,0.417545,0.488636,0.22,297
Jack Haley,CHI,PF,0.398182,0.681818,0,140
Hersey Hawkins,PHI,SG,0.453077,0.871385,0.390923,1113
Tito Horford,MIL,C,0.205333,0.419,0,31
Avery Johnson,SEA,PG,0.460773,0.693591,0.114318,457
Bill Jones,NJN,PF,0.49,0.674,0,129
Shelton Jones,TOT,SF,0.4645,0.5215,0,122
Steve Kerr,PHO,PG,0.462235,0.871706,0.397059,327
Randolph Keys,CLE,SF,0.414143,0.751143,0.216286,280
Jerome Lane,DEN,PF,0.498375,0.33325,0.03125,148
Andrew Lang,PHO,C,0.4615,0.718571,0.129786,375
Eric Leckner,UTA,C,0.45525,0.571333,0,182
Jim Les,UTA,PG,0.326667,0.786,0.218444,137
Rob Lock,LAC,PF,0.281,0.8,0,30
Grant Long,MIA,PF,0.453176,0.747059,0.169412,615
Dan Majerle,PHO,SG,0.415714,0.732143,0.345643,780
Danny Manning,LAC,PF,0.494882,0.718176,0.173059,810
Vernon Maxwell,SAS,SG,0.389158,0.719,0.304474,637
Todd Mitchell,TOT,SF,0.377,0.476,0,82
Chris Morris,NJN,SF,0.436818,0.746727,0.294364,744
Richard Morton,IND,PG,0.75,0,0,6
Craig Neal,TOT,PG,0.3665,0.57975,0.29225,68
Jose Ortiz,UTA,PF,0.446,0.598,0.25,91
Will Perdue,CHI,C,0.513769,0.576,0.0384615,287
Tim Perry,PHO,C,0.4753,0.6093,0.4123,335
Dave Popson,TOT,PF,0.4016,0.58,0,22
Dominic Pressley,TOT,PG,0.259,0.370667,0,15
Mitch Richmond*,GSW,SG,0.449143,0.859357,0.370429,1464
